Program Number,Program Title,Department/Ind. Agency,Sub-Tier,Related Federal Assistance,Last Date Modified,Types of Assistance,Date Published,Funded,POC Information
10.318,"Women and Minorities in Science, Technology, Engineering, and Mathematics Fields","AGRICULTURE, DEPARTMENT OF",NATIONAL INSTITUTE OF FOOD AND AGRICULTURE,,13-Dec-24,B - Cooperative Agreements (Discretionary Grants),13-Dec-24,True,"Christopher Green, National Program Leader
P.O. Box 419205, Mail Stop 10000, Kansas City MO 64141
(856) 328-7396
"
10.718,Infrastructure Investment and Jobs Act Capital Maintenance and Improvement,"AGRICULTURE, DEPARTMENT OF",FOREST SERVICE,,13-Dec-24,C - Direct Payments for Specified Use (Cooperative Agreements),13-Dec-24,True,"Chernoh Barrie
201 Independence Ave, SW, Washington DC 20250
2023657774
"
10.18,Meat and Poultry Inspection Readiness Grants  Supplemental Funding,"AGRICULTURE, DEPARTMENT OF",AGRICULTURAL MARKETING SERVICE,,13-Dec-24,B - Project Grants,13-Dec-24,False,"USDA Dairy Business Innovation Initiatives
1400 Independence Ave SW, Washington DC 20250
202-690-1300
"
10.236,Bioproduct Pilot Program,"AGRICULTURE, DEPARTMENT OF",NATIONAL INSTITUTE OF FOOD AND AGRICULTURE,,13-Dec-24,B - Project Grants (Discretionary),13-Dec-24,False,"USDA, NIFA, National Program Leader
USDA, National Institute of Food and Agriculture
National Institute of Food and Agriculture U.S. Department of Agriculture P.O. Box 419205, Mail Stop 10000, Kansas City, MO 64141-6205 Courier/Package Delivery Address: 2312 East Bannister Road, Mail Stop 10000, Kansas City, MO 64141-3061,
Kansas City, MO 64141, Kansas City MO 64141
207-544-3021
"
10.156,Federal-State Marketing Improvement Program,"AGRICULTURE, DEPARTMENT OF",AGRICULTURAL MARKETING SERVICE,,13-Dec-24,B - Project Grants (for specified projects),13-Dec-24,True,"FSMIP Grant Program Team
1400 Independence Avenue, SW  Room 1510, Mail Stop 0264, Washington DC 20250
202-260-8449; 202-690-1300
"
10.77,Water and Waste Grants and Loans and Loan Guarantees (Section 306C),"AGRICULTURE, DEPARTMENT OF",RURAL UTILITIES SERVICE,10.76,12-Dec-24,B - Project Grants (Discretionary),12-Dec-24,True,"Assistant Administrator
Rural Utilities Service, 1400 Independence Avenue, SW,, Washington DC 20250
202-690-1078
"
10.652,Forestry Research,"AGRICULTURE, DEPARTMENT OF",FOREST SERVICE,"10.500, 10.200, 10.202, 10.001, 10.203",12-Dec-24,B - Project Grants (Cooperative Agreements),12-Dec-24,True,"Carlos Rodriguez-Franco
201 14th St. SW, 2NW, Washington DC 20024
202-205-1665
"
10.886,Rural Broadband Access Loans and Loan Guarantees,"AGRICULTURE, DEPARTMENT OF",RURAL UTILITIES SERVICE,10.851,12-Dec-24,E - Direct Loans,12-Dec-24,True,"Assistant Administrator, Telecommunications Program,
Rural Utilities Service, 1400 Independence Avenue, S.W., STOP 1590,  Washington DC 20250
(202) 720-9554
"
10.766,Community Facilities Loans and Grants,"AGRICULTURE, DEPARTMENT OF",RURAL HOUSING SERVICE,,12-Dec-24,F - Guaranteed/Insured Loans,12-Dec-24,True,"Jamie Davenport
1400 Independence Ave SW, Washington DC 20250
2027200002
"
10.85,Rural Electrification Loans and Loan Guarantees,"AGRICULTURE, DEPARTMENT OF",RURAL UTILITIES SERVICE,10.854,12-Dec-24,F - Guaranteed/Insured Loans,12-Dec-24,True,"Christopher McLean
1400 Independence Ave., Stop 1560
, Washington DC 20250
2027209545
"
10.855,Distance Learning and Telemedicine Loans and Grants,"AGRICULTURE, DEPARTMENT OF",RURAL UTILITIES SERVICE,,12-Dec-24,B - Project Grants,12-Dec-24,True,"Assistant Administrator, Telecommunications Program,
Rural Utilities Service, 1400 Independence Avenue, S.W., STOP 1590, Washington DC 20250
(202) 720-9554.
"
10.679,Collaborative Forest Restoration,"AGRICULTURE, DEPARTMENT OF",FOREST SERVICE,10.664,12-Dec-24,B - Project Grants,12-Dec-24,False,"Patrick Moore
1824 S. Thompson St., Flagstaff AZ 86001
9284057932
"
10.35,Technical Assistance to Cooperatives,"AGRICULTURE, DEPARTMENT OF",RURAL BUSINESS COOPERATIVE SERVICE,10.771,12-Dec-24,K - Advisory Services on Compliance,12-Dec-24,False,"USDA, Rural Business-Cooperative Services,
1400 Independence Avenue, SW
Mail Stop 3201, Room 5803-South
, Washington DC 20250
202-720-1400
"
10.736,Bipartisan Infrastructure Act Nursery Vegetation,"AGRICULTURE, DEPARTMENT OF",FOREST SERVICE,,12-Dec-24,B - Project Grants,12-Dec-24,True,"Sara Wilson 
1249 S Vinnell Way Suite 200, Boise ID 83709
986-226-1811
"
10.859,Assistance to High Energy Cost Rural Communities,"AGRICULTURE, DEPARTMENT OF",RURAL UTILITIES SERVICE,"10.850, 10.854",12-Dec-24,B - Project Grants,12-Dec-24,True,"Christopher McLean
1400 Independence Ave., Stop 1560
, Washington DC 20250
2027209545
"
10.697,State & Private Forestry Hazardous Fuel Reduction Program,"AGRICULTURE, DEPARTMENT OF",FOREST SERVICE,,12-Dec-24,B - Project Grants (Discretionary),12-Dec-24,True,"Brad Simpkins
201 14th St SW, Washington DC 20250
6033128326
"
10.42,Rural Self-Help Housing Technical Assistance,"AGRICULTURE, DEPARTMENT OF",RURAL HOUSING SERVICE,10.41,12-Dec-24,B - Project Grants,12-Dec-24,True,"Andria Hively
1400 Independence Avenue, SW, Washington DC 20250
253-384-6907
"
10.184,Pandemic Relief Activities: Meat and Poultry Processing Capacity - Technical Assistance Grants,"AGRICULTURE, DEPARTMENT OF",AGRICULTURAL MARKETING SERVICE,,12-Dec-24,B - Cooperative Agreements,12-Dec-24,False,"AMS Grants Division
1400 Independence Ave SW, Washington DC 20250
2026901300
"
10.699,Partnership Agreements,"AGRICULTURE, DEPARTMENT OF",FOREST SERVICE,,12-Dec-24,C - Direct Payments for Specified Use,12-Dec-24,True,"Chernoh Barrie
201 Independence Ave, SW, Washington DC 20250
2023657774
"
12.022,DoD Mentor-Protege Program,DEPT OF DEFENSE,IMMEDIATE OFFICE OF THE SECRETARY OF DEFENSE,,12-Dec-24,M - Training,12-Dec-24,True,"Marcus Williams
3010 Pentagon, Room 3B854, Washington DC 20300
571-372-6191
"
10.698,State & Private Forestry Cooperative Fire Assistance,"AGRICULTURE, DEPARTMENT OF",FOREST SERVICE,,12-Dec-24,B - Project Grants,12-Dec-24,True,"Brad Simpkins
201 14th St SW, Washington DC 20250
603-312-8326
"
10.433,Rural Housing Preservation Grants,"AGRICULTURE, DEPARTMENT OF",RURAL HOUSING SERVICE,"10.410, 10.420, 10.417",12-Dec-24,B - Project Grants,12-Dec-24,True,"Mandy Couture, Finance and Loan Analyst
1400 Independence Avenue, Washington DC 20253
515-418-2188
"
10.417,Very Low-Income Housing Repair Loans and Grants,"AGRICULTURE, DEPARTMENT OF",RURAL HOUSING SERVICE,10.41,12-Dec-24,B - Project Grants,12-Dec-24,True,"Andria Hively
1400 Independence Avenue, SW, Washington DC 20250
253-384-6907
"
10.708,Community Wood Energy and Wood Innovation Program,"AGRICULTURE, DEPARTMENT OF",FOREST SERVICE,,12-Dec-24,B - Project Grants,12-Dec-24,True,"Sabina Dhungana
201 14th ST SW, 3NW, Washington DC 20250
(804) 813-0207
"
10.704,Law Enforcement Agreements,"AGRICULTURE, DEPARTMENT OF",FOREST SERVICE,,12-Dec-24,B - Cooperative Agreements,12-Dec-24,True,"Tracie L. Wilkinson
201 14th Street SW, Washington  DC 20024
202-205-1664
"
10.155,Marketing Agreements and Orders,"AGRICULTURE, DEPARTMENT OF",AGRICULTURAL MARKETING SERVICE,"10.500, 36.001, 10.051",12-Dec-24,J - Provision of Specialized Services,12-Dec-24,True,"Erin Morris
1400 Independence Ave, SW, Washington DC 20250
202-690-4024
"
10.751,Rural Energy Savings Program (RESP),"AGRICULTURE, DEPARTMENT OF",RURAL UTILITIES SERVICE,10.85,12-Dec-24,E - Direct Loans,12-Dec-24,True,"Christopher McLean
1400 Independence Ave., Stop 1560
, Washington DC 20250
202-720-9545
"
10.703,Cooperative Fire Protection Agreement,"AGRICULTURE, DEPARTMENT OF",FOREST SERVICE,,12-Dec-24,B - Cooperative Agreements (Discretionary Grants),12-Dec-24,True,"Tim Melchert
1400 Independence Ave, SW, Mailstop 1138 
, Washington DC 20250
208-387-5100
"
10.854,Rural Economic Development Loans and Grants,"AGRICULTURE, DEPARTMENT OF",RURAL BUSINESS COOPERATIVE SERVICE,10.351,12-Dec-24,B - Project Grants,12-Dec-24,True,"PPD-Intermediary Programs Branch
1400 Independence Ave. S.W., Washington DC 20250
(202) 720-1400
"
10.858,Denali Commission Grants and Loans,"AGRICULTURE, DEPARTMENT OF",RURAL UTILITIES SERVICE,"10.850, 10.854",12-Dec-24,B - Project Grants,12-Dec-24,True,"Christopher McLean
1400 Independence Ave., Stop 1560
, Washington DC 20250
2027209545
"
10.683,National Fish and Wildlife Foundation,"AGRICULTURE, DEPARTMENT OF",FOREST SERVICE,,12-Dec-24,B - Cooperative Agreements,12-Dec-24,True,"Robert M. Harper
201 14th St. NW, 3SE, Washington DC 20024
202-205-1671
"
10.862,Rural Decentralized Water Systems Grant Program,"AGRICULTURE, DEPARTMENT OF",RURAL UTILITIES SERVICE,10.76,12-Dec-24,B - Project Grants,12-Dec-24,True,"Assistant Administrator
Rural Utilities Service, 1400 Independence Avenue, SW, Stop 1599, Washington DC 20250
202-690-1078
"
10.701,Stewardship Agreements,"AGRICULTURE, DEPARTMENT OF",FOREST SERVICE,,12-Dec-24,C - Direct Payments for Specified Use (Cooperative Agreements),12-Dec-24,True,"John Crockett
1400 Independence Ave, SW Mailstop 1138, Washington DC 20250
202-205-1495
"
10.705,Cooperative Forest Road Agreements,"AGRICULTURE, DEPARTMENT OF",FOREST SERVICE,,12-Dec-24,C - Direct Payments for Specified Use (Cooperative Agreements),12-Dec-24,True,"David Payne
201 14th Street, SW Suite 3C, Washington  DC 20024
202-205-0963
"
10.405,Farm Labor Housing Loans and Grants,"AGRICULTURE, DEPARTMENT OF",RURAL HOUSING SERVICE,10.427,12-Dec-24,E - Direct Loans,12-Dec-24,True,"USDA Rural Development, Production and Preservation Division
1400 Independence Ave. SW., Room 5017, Washington DC 20250
(202) 400-0127
"
10.684,International Forestry Programs,"AGRICULTURE, DEPARTMENT OF",FOREST SERVICE,,12-Dec-24,B - Project Grants,12-Dec-24,True,"Vanessa Felder-Pinkney
201 14th St SW, Washington DC 20227
202-644-4613
"
10.153,Market News,"AGRICULTURE, DEPARTMENT OF",AGRICULTURAL MARKETING SERVICE,"10.500, 10.250, 10.700, 10.950",12-Dec-24,B - Cooperative Agreements,12-Dec-24,True,"Erin Morris
1400 Independence Ave SW , Washington DC 20250
(202) 690-4024
"
10.665,Schools and Roads - Grants to States,"AGRICULTURE, DEPARTMENT OF",FOREST SERVICE,,12-Dec-24,B - Cooperative Agreements,12-Dec-24,True,"Leanne Veldhuis
201 14th Street, SW, Suite 4 NW, 
, Washington DC 20024
202-649-1177
"
10.732,"Bipartisan Infrastructure Law State, Private & Tribal Agreements","AGRICULTURE, DEPARTMENT OF",FOREST SERVICE,,12-Dec-24,C - Direct Payments for Specified Use (Cooperative Agreements),12-Dec-24,True,"Lynne Sholty
201 14th St SW, Washington DC 20250
406-210-6497
"
10.759,Part 1774 Special Evaluation Assistance for Rural Communities and Households (SEARCH),"AGRICULTURE, DEPARTMENT OF",RURAL UTILITIES SERVICE,,12-Dec-24,B - Project Grants,12-Dec-24,True,"Assistant Administrator
1400 Independence Ave., SW, Washington DC 20250
(202) 690-1078
"
10.447,Rural Multi-Family Housing Revitalization Demonstration Program (MPR),"AGRICULTURE, DEPARTMENT OF",RURAL HOUSING SERVICE,10.415,12-Dec-24,C - Direct Payments for Specified Use,12-Dec-24,True,"Dan Rogers
1400 Independence Ave SW, Room 5017, Washington DC 20250
202-400-1027
"
10.691,Good Neighbor Authority,"AGRICULTURE, DEPARTMENT OF",FOREST SERVICE,,12-Dec-24,B - Cooperative Agreements,12-Dec-24,True,"John Crockett
201 14th St SW, Washington DC 20250
202-205-1495
"
10.706,Grey Towers Cooperative Authorities,"AGRICULTURE, DEPARTMENT OF",FOREST SERVICE,,12-Dec-24,B - Project Grants (Cooperative Agreements),12-Dec-24,True,"Joseph Koloski
122 Old Owego Turnpike, Milford PA 18337
570-296-9634
"
10.711,Forest Service 638 Authority for Tribes,"AGRICULTURE, DEPARTMENT OF",FOREST SERVICE,,12-Dec-24,C - Direct Payments for Specified Use (Cooperative Agreements),12-Dec-24,True,"John G. Church
201 14th St SW, Washington DC 20250
202-205-1732
"
10.415,Rural Rental Housing Loans,"AGRICULTURE, DEPARTMENT OF",RURAL HOUSING SERVICE,,12-Dec-24,E - Direct Loans,12-Dec-24,True,"USDA Rural Development, Production and Preservation Division
1400 Independence Ave. SW., Room 5017, Washington DC 20250
(202) 400-0127
"
10.702,Alaska National Interest Lands Conservation Act (ANILCA) Agreements,"AGRICULTURE, DEPARTMENT OF",FOREST SERVICE,,12-Dec-24,B - Cooperative Agreements,12-Dec-24,True,"Bridget Darr
709 West 9th St., Juneau AK 99501  
907-747-4329
"
12.113,State Memorandum of Agreement Program for the Reimbursement of Technical Services,DEPT OF DEFENSE,DEPT OF THE ARMY,,12-Dec-24,Z - Salaries and Expenses,12-Dec-24,False,"Ronnell Booker
441 G Street NW, Washington DC 20548
2027618646
"
10.438,Section 538 Rural Rental Housing Guaranteed Loans,"AGRICULTURE, DEPARTMENT OF",RURAL HOUSING SERVICE,,12-Dec-24,F - Guaranteed/Insured Loans,12-Dec-24,True,"Production and Preservation Division
USDA Rural Development
1400 Independence Avenue SW
Room 5017, Washington DC 20250
(202) 400-0127
"
10.762,Solid Waste Management Grants,"AGRICULTURE, DEPARTMENT OF",RURAL UTILITIES SERVICE,,12-Dec-24,B - Project Grants,12-Dec-24,True,"Michele Brooks
Rural Utilities Service, Department of Agriculture, 1400 Independence Ave., SW, Washington DC 20250
(202) 690-1078
"
10.707,Research Joint Venture and Cost Reimbursable Agreements,"AGRICULTURE, DEPARTMENT OF",FOREST SERVICE,,12-Dec-24,C - Direct Payments for Specified Use,12-Dec-24,True,"Darby Seward
1400 Independence Ave, SW, Washington DC 20250
208-681-0293
"
10.761,Water and Waste Technical Assistance and Training Grants,"AGRICULTURE, DEPARTMENT OF",RURAL UTILITIES SERVICE,,12-Dec-24,B - Project Grants (for specified projects),12-Dec-24,True,"Michele Brooks
Rural Utilities Service, 1400 Independence Ave.,  SW, Washington DC 20250
(202) 690-1078
"
10.427,Rural Rental Assistance Payments,"AGRICULTURE, DEPARTMENT OF",RURAL HOUSING SERVICE,"10.415, 10.405",12-Dec-24,C - Direct Payments for Specified Use,12-Dec-24,True,"Director, Multi-Family Housing Asset Management Division, Rural Housing Service
U.S. Department of Agriculture 1400 Independence Ave SW, Washington DC 20250
202-430-3115
"
10.851,Rural Telecommunications Loans,"AGRICULTURE, DEPARTMENT OF",RURAL UTILITIES SERVICE,10.886,12-Dec-24,F - Guaranteed/Insured Loans,12-Dec-24,True,"Assistant Administrator, Telecommunications Program, Rural Utilities Service
Rural Utilities Service, 1400 Independence Avenue, SW.,STOP 1590, Room 5151, Washington DC 20250
(202) 720-9554
"
10.682,National Forest Foundation,"AGRICULTURE, DEPARTMENT OF",FOREST SERVICE,,12-Dec-24,B - Cooperative Agreements,12-Dec-24,True,"Leanne Veldhuis 
201 14th Street SW, Suite 4NW, Washington DC 20250
202-649-1177
"
10.446,Rural Community Development Initiative,"AGRICULTURE, DEPARTMENT OF",RURAL HOUSING SERVICE,,12-Dec-24,B - Project Grants,12-Dec-24,True,"Shirley Stevenson
1400 Independence Ave, SW, Washington DC 20250
202-205-9685
"
10.719,Infrastructure Investment and Jobs Act Firewood Bank Program,"AGRICULTURE, DEPARTMENT OF",FOREST SERVICE,,12-Dec-24,B - Project Grants,12-Dec-24,True,"Brian Brashaw
201 14th St SW, Washington DC 20250
2022051380
"
10.41,Very Low to Moderate Income Housing Loans and Loan Guarantees,"AGRICULTURE, DEPARTMENT OF",RURAL HOUSING SERVICE,"10.420, 10.417",12-Dec-24,F - Guaranteed/Insured Loans,12-Dec-24,True,"Andria Hively
1400 Independence Avenue, SW, Washington DC 20250
2533846907
"
10.76,Water and Waste Disposal Systems for Rural Communities,"AGRICULTURE, DEPARTMENT OF",RURAL UTILITIES SERVICE,"11.300, 14.218",12-Dec-24,B - Project Grants,12-Dec-24,True,"Assistant Administrator, Water and Environmental Programs,
Rural Utilities Service, Department of Agriculture, 1400 Independence Ave., SW, Washington DC 20250
(202) 690-1078
"
10.863,Community Connect Grant Program,"AGRICULTURE, DEPARTMENT OF",RURAL UTILITIES SERVICE,,12-Dec-24,B - Project Grants,12-Dec-24,True," Assistant Administrator,  Telecommunications Program
Rural Utilities Service, 1400 Independence Avenue, S.W., STOP 1590, Washington DC 20250
(202) 720-9554.
"
10.758,New Empowering Rural America (New ERA) Program,"AGRICULTURE, DEPARTMENT OF",RURAL UTILITIES SERVICE,,12-Dec-24,E - Direct Loans,12-Dec-24,True,"Christopher McLean
1400 Independence Ave., Stop 1560
, Washington DC 20250
2027209545
"
10.763,Emergency Community Water Assistance Grants,"AGRICULTURE, DEPARTMENT OF",RURAL UTILITIES SERVICE,10.76,12-Dec-24,B - Project Grants,12-Dec-24,True,"Assistant Administrator
1400 Independence Ave., SW, Washington DC 20250
202-690-1078
"
10.342,Conservation and Urban Resources Extension,"AGRICULTURE, DEPARTMENT OF",NATIONAL INSTITUTE OF FOOD AND AGRICULTURE,,12-Dec-24,B - Cooperative Agreements,12-Dec-24,True,"Amanda Halls
P.O. Box 419205, Kansas City MO 64141
amanda.halls@usda.gov
"
10.735,Reforestation of Non-Federal Mined Land,"AGRICULTURE, DEPARTMENT OF",FOREST SERVICE,,12-Dec-24,B - Project Grants,12-Dec-24,True,"Caroline Kuebler
626 E. Wisconsin Ave., Milwaukee WI 53202
4142677030
"
10.495,Farm Labor Housing Technical Assistance Grants,"AGRICULTURE, DEPARTMENT OF",RURAL HOUSING SERVICE,,12-Dec-24,B - Project Grants,12-Dec-24,True,"Dan Rogers
1400 Independence Avenue SW
Room 5017, Washington DC 20250
202-400-1027
"
10.163,Market Protection and Promotion,"AGRICULTURE, DEPARTMENT OF",AGRICULTURAL MARKETING SERVICE,"10.155, 36.001",12-Dec-24,B - Cooperative Agreements,12-Dec-24,True,"Erin Morris
1400 Independence Ave SW, Washington DC 20250
202-690-4024
"
10.752,Rural eConnectivity Pilot Program,"AGRICULTURE, DEPARTMENT OF",RURAL UTILITIES SERVICE,,12-Dec-24,B - Project Grants,12-Dec-24,True,"Assistant Administrator, Telecommunications Program, Rural Utilities Service
U.S. Department of Agriculture
1400 Independence Ave. SW, Washington DC 20250
202) 7209554
"
10.73,Community Project Funds - Congressionally Directed Spending,"AGRICULTURE, DEPARTMENT OF",FOREST SERVICE,10.723,12-Dec-24,B - Project Grants,12-Dec-24,True,"Anne Buckelew
201 14th St SW, Washington DC 20250
2024014073
"
10.864,Grant Program to Establish a Fund for Financing Water and Wastewater Projects,"AGRICULTURE, DEPARTMENT OF",RURAL UTILITIES SERVICE,10.76,12-Dec-24,B - Project Grants,12-Dec-24,True,"Assistant Administrator
Rural Utilities Service, 1400 Independence Ave., SW, Washington DC 20250
(202) 690-1078
"
10.494,Multi-Family Housing Non-Profit Transfer Technical Assistance Grants,"AGRICULTURE, DEPARTMENT OF",RURAL HOUSING SERVICE,,12-Dec-24,B - Project Grants,12-Dec-24,True,"Dan Rogers
1400 Independence Avenue SW, Washington DC 20250
202-400-0127
"
10.185,Local Food for Schools Cooperative Agreement Program,"AGRICULTURE, DEPARTMENT OF",AGRICULTURAL MARKETING SERVICE,,12-Dec-24,B - Cooperative Agreements,12-Dec-24,True,"Elizabeth Lober
1400 Independence Ave.  SW, Stop-0239, Washington DC 20250
(202) 720-9924
"
10.733,Bipartisan Infrastructure Law  Removal and Production of Flammable Vegetation to Produce Biochar and Innovative Wood Products,"AGRICULTURE, DEPARTMENT OF",FOREST SERVICE,10.725,12-Dec-24,B - Project Grants,12-Dec-24,True,"Brian Brashaw
201 14th St SW, Washington DC 20250
218-626-4344
"
12.333,"Advanced Manufacturing Technology - Office of the Secretary of Defense (OSD), Manufacturing Technology (ManTech) Program",DEPT OF DEFENSE,IMMEDIATE OFFICE OF THE SECRETARY OF DEFENSE,,12-Dec-24,B - Cooperative Agreements (Discretionary Grants),12-Dec-24,True,"Travis Clemons
4800 Mark Center Drive, Alexandria VA 22350
(518) 937-8541
"
10.757,Powering Affordable Clean Energy (PACE) Program,"AGRICULTURE, DEPARTMENT OF",RURAL UTILITIES SERVICE,,12-Dec-24,E - Direct Loans,12-Dec-24,True,"Christopher McLean
1400 Independence Ave., Stop 1560
, Washington DC 20250
2027209545
"
10.223,Hispanic Serving Institutions Education Grants,"AGRICULTURE, DEPARTMENT OF",NATIONAL INSTITUTE OF FOOD AND AGRICULTURE,"10.220, 10.210, 10.217, 10.226",11-Dec-24,B - Project Grants,11-Dec-24,True,"Irma Lawrence, National Program Leader
National Institute of Food and Agriculture
U.S. Department of Agriculture
P.O. Box 419205, MS 10000, Kansas City MO 64141
202-531-0633
"
10.233,Open Data Standards,"AGRICULTURE, DEPARTMENT OF",NATIONAL INSTITUTE OF FOOD AND AGRICULTURE,,11-Dec-24,B - Project Grants,11-Dec-24,True,"Angelica Van Goor
National Institute of Food and Agriculture 
U.S. Department of Agriculture 
P.O. Box 419205, Mail Stop 10000, Kansas City, MO 64141-6205,
Courier/Package Delivery Address:
2312 East Bannister Road, Mail Stop 10000, Kansas City, MO 64141-3061, Kansas City MO 64141
816-584-5304
"
10.222,Tribal Colleges Endowment Program,"AGRICULTURE, DEPARTMENT OF",NATIONAL INSTITUTE OF FOOD AND AGRICULTURE,10.221,11-Dec-24,A - Formula Grants (Apportionments),11-Dec-24,True,"Erin Riley, National Program Leader
P.O. Box 419205, Mail Stop 10000, Kansas City MO 64141
(816) 926-2131
"
10.23,Farm of the Future,"AGRICULTURE, DEPARTMENT OF",NATIONAL INSTITUTE OF FOOD AND AGRICULTURE,,11-Dec-24,B - Project Grants,11-Dec-24,True,"Vijay Nandula
National Institute of Food and Agriculture
U.S. Department of Agriculture
P.O. Box 419205, MS 10000
Kansas City, MO 64141-6205, Kansas City MO 64141
816-894-7229
"
10.238,Institute of Rural Partnership (GP 780),"AGRICULTURE, DEPARTMENT OF",NATIONAL INSTITUTE OF FOOD AND AGRICULTURE,,11-Dec-24,B - Project Grants,11-Dec-24,False,"Ashley Mueller
National Institute of Food and Agriculture U.S. Department of Agriculture P.O. Box 419205, Mail Stop 10000, Kansas City, MO 64141-6205 Courier/Package Delivery Address: 2312 East Bannister Road, Mail Stop 10000, Kansas City, MO 64141-3061,, Kansas City MO 64141
202-555-1212
"
10.237,From Learning to Leading: Cultivating the Next Generation of Diverse Food and Agriculture Professionals,"AGRICULTURE, DEPARTMENT OF",NATIONAL INSTITUTE OF FOOD AND AGRICULTURE,,11-Dec-24,B - Project Grants,11-Dec-24,False,"NIFA.workforce@usda.gov
National Institute of Food and Agriculture
U.S. Department of Agriculture
P.O. Box 419205, MS 10000, Kansas City MO 64141
202-445-5594
"
10.227,1994 Institutions Research Grants,"AGRICULTURE, DEPARTMENT OF",NATIONAL INSTITUTE OF FOOD AND AGRICULTURE,"10.205, 10.207, 10.219, 10.652, 10.250, 10.200, 10.202, 10.001, 10.203",11-Dec-24,B - Project Grants (Cooperative Agreements),11-Dec-24,True,"Prali Chitnis
National Institute of Food and Agriculture
U.S. Department of Agriculture
P.O. Box 419205, MS 10000, Kansas City MO 64141
202-505-0361
"
10.234,American Rescue Plan Technical Assistance Investment Program,"AGRICULTURE, DEPARTMENT OF",NATIONAL INSTITUTE OF FOOD AND AGRICULTURE,,11-Dec-24,B - Cooperative Agreements,11-Dec-24,False,"Ahlishia Shipley
National Institute of Food and Agriculture 
U.S. Department of Agriculture 
P.O. Box 419205, Mail Stop 10000, Kansas City, MO 64141-6205
Courier/Package Delivery Address:
2312 East Bannister Road, Mail Stop 10000, Kansas City, MO 64141-3061, Kansas City MO 64141
202.445.5456
"
10.228,Alaska Native Serving and Native Hawaiian Serving Institutions Education Grants,"AGRICULTURE, DEPARTMENT OF",NATIONAL INSTITUTE OF FOOD AND AGRICULTURE,"10.220, 10.223, 10.217",11-Dec-24,B - Project Grants,11-Dec-24,True,"Kellyann Jones-Jamtgaard, National Program Leader
National Institute of Food and Agriculture
U.S. Department of Agriculture
P.O. Box 419205, MS 10000, Kansas City MO 64141
816-599-1916
"
10.232,Blue Ribbon,"AGRICULTURE, DEPARTMENT OF",NATIONAL INSTITUTE OF FOOD AND AGRICULTURE,,11-Dec-24,B - Project Grants,11-Dec-24,True,"Jessica Shade 
National Institute of Food and Agriculture 
U.S. Department of Agriculture 
P.O. Box 419205, Mail Stop 10000, Kansas City, MO 64141-6205
Courier/Package Delivery Address:
2312 East Bannister Road, Mail Stop 10000, Kansas City, MO 64141-3061, Kansas City MO 64141
831-278-2073
"
10.226,"Secondary Education, Two-Year Postsecondary Education, and Agriculture in the K-12 Classroom","AGRICULTURE, DEPARTMENT OF",NATIONAL INSTITUTE OF FOOD AND AGRICULTURE,"10.210, 10.217, 10.216",11-Dec-24,B - Project Grants,11-Dec-24,True,"Christopher Green, National Program Leader
P.O. Box 419205, MS 10000, Kansas City MO 64141
856-328-7396
"
10.229,Extension Collaborative on Immunization Teaching & Engagement,"AGRICULTURE, DEPARTMENT OF",NATIONAL INSTITUTE OF FOOD AND AGRICULTURE,,11-Dec-24,B - Project Grants,11-Dec-24,True,"Edwin Lewis
National Institute of Food and Agriculture U.S. Department of Agriculture P.O. Box 419205, Mail Stop 10000, Kansas City, MO 64141-6205 Courier/Package Delivery Address: 2312 East Bannister Road, Mail Stop 10000, Kansas City, MO 64141-3061,, Kansas City MO 64141
817-542-3305
"
12.44,Dissertation Year Fellowship,DEPT OF DEFENSE,DEPT OF THE ARMY,14.516,10-Dec-24,B - Project Grants (Fellowships),10-Dec-24,True,"Dr. Nicholas J. Schlosser
U.S. Army Center of Military History Ft. Lesley J. McNair 102 Fourth Avenue, S.W., Washington DC 20318
520-718-7610
"
10.903,Soil Survey,"AGRICULTURE, DEPARTMENT OF",NATURAL RESOURCES CONSERVATION SERVICE,"10.902, 10.904",10-Dec-24,K - Advisory Services and Counseling,10-Dec-24,True,"Edgar Mersiovsky, Soils Program Manager
1400 Independence Ave., SW, Washington DC 20250
(501) 766-8301
"
10.932,Regional Conservation Partnership Program,"AGRICULTURE, DEPARTMENT OF",NATURAL RESOURCES CONSERVATION SERVICE,"10.931, 10.912, 10.922, 10.924, 10.922, 10.924, 10.904",10-Dec-24,B - Cooperative Agreements,10-Dec-24,True,"Russell Ames, Branch Chief, Program Projects Branch, Financial Assistance Programs Division
Natural Resources Conservation Service,
1400 Independence Ave, SW, Washington DC 20250
N/A
"
10.912,Environmental Quality Incentives Program,"AGRICULTURE, DEPARTMENT OF",NATURAL RESOURCES CONSERVATION SERVICE,"10.072, 10.069, 10.054, 10.902, 10.904",10-Dec-24,C - Direct Payments for Specified Use,10-Dec-24,True,"Myron Taylor, Branch Chief, Programs Branch, Financial Assistance Programs Division
1400 Independence Ave. SW Room 4534-S, Washington DC 20250
202-690-2191
"
64.039,CHAMPVA,"VETERANS AFFAIRS, DEPARTMENT OF",,,10-Dec-24,C - Direct Payments for Specified Use,10-Dec-24,True,"Rama Raju 
Allocation Resource Center

100 Grandview Rd., Suite 114, Braintree MA 02184
781-348-0124
"
